"In-flight Analysis - Untitled","","","","","","","","","","","","","","","","",""
"200ft above Sea Level, 29.92inHg, 58°F","","","","","","","","","","","","","","","","",""

"Motor:",""," Scorpion SII-4025-520; 520rpm/V; 1.4A no-load; 0.016 Ohms.","","","","","","","","","","","","","","","",""
"Battery:",""," Thunder Power TP5000 (G4 ProPower 45C) (45C); 7 cells; 5000mAh @ 3.7V; 0.001 Ohms/cell.","","","","","","","","","","","","","","","",""
"Speed Control:",""," Generic Brushless ESC; 0.006 Ohms; High rate.","","","","","","","","","","","","","","","",""
"Drive System:",""," Theoretical Prop; 10x8 (Pconst=1.31; Tconst=0.95) direct drive.","","","","","","","","","","","","","","","",""
"Airframe:",""," DBF Test 1; 720sq.in; 162.6oz RTF; 32.5oz/sq.ft; Cd=0.047; Cl=0.4; Clopt=0.53; Clmax=0.99.","","","","","","","","","","","","","","","",""
"Stats:",""," 90 W/lb in; 85 W/lb out; 29mph stall; 40mph opt @ 58% (42:25, 87°F); 47mph level @ 64% (33:29, 91°F); 1224ft/min @ 20.1°; -386ft/min @ -6.2°.","","","","","","","","","","","","","","","",""

"AirSpd (mph)","Drag (oz)","Lift (oz)","Batt Amps","Motor Amps","Motor Volts","Input (W)","Loss (W)","MGbOut (W)","MotGb Ef(%)","Shaft Ef(%)","Prop RPM","Thrust (oz)","PSpd (mph)","Prop Ef(%)","Total Ef(%)","Time (m:s)"
31.0,8.5,71.9,37.2,37.2,25.4,946.6,60.0,886.5,93.7,91.9,12861,76.7,66.4,33.3,30.6,8:03
32.0,9.1,76.6,37.3,37.3,25.4,947.3,60.1,887.2,93.7,91.9,12861,76.3,65.4,34.1,31.4,8:03
33.0,9.7,81.4,37.3,37.3,25.4,948.0,60.1,887.9,93.7,91.9,12860,75.9,64.4,35.0,32.2,8:03
34.0,10.2,86.4,37.3,37.3,25.4,948.6,60.2,888.4,93.7,91.9,12860,75.5,63.4,35.8,32.9,8:02
35.0,10.9,91.6,37.3,37.3,25.4,949.1,60.2,888.9,93.7,91.9,12860,75.1,62.4,36.7,33.7,8:02
36.0,11.5,96.9,37.4,37.4,25.4,949.5,60.2,889.3,93.7,91.9,12859,74.6,61.4,37.5,34.4,8:02
37.0,12.1,102.4,37.4,37.4,25.4,949.8,60.2,889.6,93.7,91.9,12859,74.2,60.4,38.3,35.2,8:02
38.0,12.8,108.0,37.4,37.4,25.4,950.0,60.2,889.8,93.7,91.9,12859,73.7,59.4,39.1,35.9,8:02
39.0,13.5,113.7,37.4,37.4,25.4,950.1,60.2,889.8,93.7,91.9,12859,73.3,58.4,39.8,36.6,8:02
40.0,14.2,119.6,37.4,37.4,25.4,949.9,60.2,889.7,93.7,91.9,12859,72.8,57.4,40.6,37.3,8:02
41.0,14.9,125.7,37.4,37.4,25.4,949.5,60.2,889.3,93.7,91.9,12859,72.3,56.4,41.3,38.0,8:02
42.0,15.6,131.9,37.3,37.3,25.4,948.7,60.2,888.5,93.7,91.9,12860,71.8,55.4,42.1,38.7,8:02
43.0,16.4,138.2,37.3,37.3,25.4,947.7,60.1,887.6,93.7,91.9,12861,71.2,54.4,42.8,39.3,8:03
44.0,17.2,144.8,37.2,37.2,25.4,946.5,60.0,886.5,93.7,91.9,12861,70.7,53.4,43.5,40.0,8:03
45.0,18.0,151.4,37.2,37.2,25.4,944.9,59.9,885.0,93.7,91.9,12863,70.1,52.4,44.2,40.6,8:04
46.0,18.8,158.2,37.1,37.1,25.4,943.0,59.8,883.2,93.7,91.9,12864,69.4,51.5,44.9,41.2,8:05
47.0,19.6,165.2,37.0,37.0,25.4,940.9,59.7,881.2,93.7,91.9,12865,68.8,50.5,45.5,41.8,8:06
48.0,20.4,172.3,36.9,36.9,25.4,938.5,59.6,878.9,93.7,91.9,12867,68.2,49.5,46.2,42.4,8:08
49.0,21.3,179.5,36.8,36.8,25.4,935.9,59.4,876.4,93.6,91.9,12869,67.5,48.5,46.8,43.0,8:09
50.0,22.2,186.9,36.7,36.7,25.4,932.9,59.3,873.6,93.6,91.9,12871,66.8,47.5,47.4,43.6,8:11
51.0,23.1,194.5,36.6,36.6,25.4,929.7,59.1,870.6,93.6,91.9,12873,66.1,46.5,48.0,44.2,8:12
52.0,24.0,202.2,36.4,36.4,25.4,926.2,58.9,867.3,93.6,91.9,12876,65.4,45.5,48.6,44.7,8:14
53.0,24.9,210.0,36.3,36.3,25.4,922.4,58.7,863.7,93.6,91.9,12878,64.7,44.6,49.2,45.2,8:16
54.0,25.9,218.0,36.1,36.1,25.4,918.4,58.5,860.0,93.6,91.9,12881,63.9,43.6,49.8,45.8,8:18
55.0,26.8,226.2,36.0,36.0,25.4,915.5,58.3,857.2,93.6,91.9,12883,63.3,42.6,50.3,46.3,8:20
56.0,27.8,234.5,35.8,35.8,25.4,910.8,58.1,852.8,93.6,91.9,12886,62.5,41.6,50.9,46.8,8:23
57.0,28.8,242.9,35.6,35.6,25.4,906.0,57.8,848.1,93.6,91.9,12890,61.7,40.7,51.4,47.3,8:25
58.0,29.8,251.5,35.4,35.4,25.4,900.8,57.6,843.3,93.6,91.9,12893,60.9,39.7,51.9,47.7,8:28
59.0,30.9,260.3,35.2,35.2,25.4,895.4,57.3,838.1,93.6,91.9,12897,60.1,38.7,52.4,48.2,8:31
60.0,31.9,269.2,35.0,35.0,25.4,889.7,57.0,832.7,93.6,92.0,12901,59.2,37.7,52.9,48.7,8:35
61.0,33.0,278.2,34.7,34.7,25.4,883.7,56.7,827.0,93.6,92.0,12905,58.4,36.8,53.4,49.1,8:38
62.0,34.1,287.4,34.5,34.5,25.5,877.4,56.4,821.1,93.6,92.0,12909,57.5,35.8,53.9,49.5,8:42
63.0,35.2,296.8,34.2,34.2,25.5,870.8,56.0,814.8,93.6,92.0,12914,56.6,34.8,54.3,49.9,8:46
64.0,36.3,306.3,33.9,33.9,25.5,864.0,55.7,808.4,93.6,92.0,12918,55.8,33.9,54.7,50.3,8:50
65.0,37.5,315.9,33.7,33.7,25.5,856.9,55.3,801.6,93.5,92.0,12923,54.9,32.9,55.2,50.7,8:55
66.0,38.6,325.7,33.4,33.4,25.5,849.6,55.0,794.6,93.5,92.0,12928,54.0,31.9,55.6,51.1,9:00
67.0,39.8,335.6,33.1,33.1,25.5,841.9,54.6,787.3,93.5,92.0,12933,53.0,31.0,56.0,51.5,9:05
68.0,41.0,345.7,32.7,32.7,25.5,834.0,54.2,779.8,93.5,92.0,12939,52.1,30.0,56.4,51.8,9:10
69.0,42.2,356.0,32.4,32.4,25.5,825.8,53.8,772.0,93.5,92.0,12944,51.2,29.1,56.7,52.2,9:15
70.0,43.4,366.4,32.1,32.1,25.5,817.4,53.4,763.9,93.5,92.0,12950,50.2,28.1,57.1,52.5,9:21
71.0,44.7,376.9,31.7,31.7,25.5,808.6,53.0,755.6,93.4,92.0,12956,49.3,27.2,57.4,52.8,9:27
72.0,46.0,387.6,31.4,31.4,25.5,799.5,52.6,746.9,93.4,91.9,12962,48.3,26.2,57.8,53.1,9:34
73.0,47.2,398.4,31.0,31.0,25.5,790.0,52.2,737.8,93.4,91.9,12969,47.3,25.2,58.1,53.4,9:41

"Note: Motor performance calculations take ambient temperature and heating effects into account.","","","","","","","","","","","","","","","","",""

"Generated by MotoCalc 8.09, 9/1/2025 7:34 PM.","","","","","","","","","","","","","","","","",""
